seriesUrl,seriesTitle,seriesAbbrev,seriesLetter,playoffRound,topSeedRank,topSeedRankAbbrev,topSeedWins,bottomSeedRank,bottomSeedRankAbbrev,bottomSeedWins,winningTeamId,losingTeamId,seriesLogo,seriesLogoFr,season,topSeedTeam_id,topSeedTeam_abbrev,topSeedTeam_logo,topSeedTeam_darkLogo,topSeedTeam_name.default,topSeedTeam_name.fr,topSeedTeam_commonName.default,topSeedTeam_placeNameWithPreposition.default,topSeedTeam_placeNameWithPreposition.fr,bottomSeedTeam_id,bottomSeedTeam_abbrev,bottomSeedTeam_logo,bottomSeedTeam_darkLogo,bottomSeedTeam_name.default,bottomSeedTeam_name.fr,bottomSeedTeam_commonName.default,bottomSeedTeam_placeNameWithPreposition.default,bottomSeedTeam_placeNameWithPreposition.fr,bottomSeedTeam_commonName.fr,topSeedTeam_commonName.fr,conferenceAbbrev,conferenceName
/schedule/playoff-series/1945/series-b/bruins-vs-redwings,Semifinals,SF,B,1,2,L2,4,4,L4,3,17.0,6.0,,,1945,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19401941-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19341935-19471948_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,,,,
/schedule/playoff-series/1945/series-i/mapleleafs-vs-redwings,Stanley Cup Final,SCF,I,2,2,L2,3,3,L3,4,10.0,17.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1945,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,,,,
/schedule/playoff-series/1946/series-a/blackhawks-vs-canadiens,Semifinals,SF,A,1,1,L1,4,3,L3,0,8.0,16.0,,,1946,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19261927-19561957_light.svg,https://assets.nhle.com/logos/nhl/svg/CHI_19261927-19561957_dark.svg,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,Chicago,de Chicago,,,,
/schedule/playoff-series/1946/series-b/redwings-vs-bruins,Semifinals,SF,B,1,2,L2,4,4,L4,1,6.0,17.0,,,1946,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19401941-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19341935-19471948_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,,,,
/schedule/playoff-series/1946/series-i/bruins-vs-canadiens,Stanley Cup Final,SCF,I,2,1,L1,4,2,L2,1,8.0,6.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1946,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19401941-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19341935-19471948_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,,,,
/schedule/playoff-series/1947/series-a/bruins-vs-canadiens,Semifinals,SF,A,1,1,L1,4,3,L3,1,8.0,6.0,,,1947,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19401941-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19341935-19471948_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,,,,
/schedule/playoff-series/1947/series-b/redwings-vs-mapleleafs,Semifinals,SF,B,1,2,L2,4,4,L4,1,10.0,17.0,,,1947,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,,,,
/schedule/playoff-series/1947/series-i/mapleleafs-vs-canadiens,Stanley Cup Final,SCF,I,2,1,L1,2,2,L2,4,10.0,8.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1947,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19321933-19461947_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,,,,
/schedule/playoff-series/1948/series-a/bruins-vs-mapleleafs,Semifinals,SF,A,1,1,L1,4,3,L3,1,10.0,6.0,,,1948,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19401941-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19341935-19471948_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,,,,
/schedule/playoff-series/1948/series-b/rangers-vs-redwings,Semifinals,SF,B,1,2,L2,4,4,L4,2,17.0,3.0,,,1948,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_19471948-19511952_light.svg,https://assets.nhle.com/logos/nhl/svg/NYR_19471948-19511952_dark.svg,New York Rangers,Rangers de New York,Rangers,New York,de New York,,,,
